v_c,w_c,v,w,v_out,w_out,dt
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049945953
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050030916
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050011356
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049960753
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049996112
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050039114
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049987888
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049972645
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050001804
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.100035585
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049968826
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.05002203
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049975694
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.099999329
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050062522
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049922678
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050093226
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049960051
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050007142
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049992949
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.099960591
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050001789
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050003698
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.049997972
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.099993494
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050035882
0,0,-2.09928645647506E-15,1.05644659686988E-15,-2.09928645647506E-15,1.05644659686988E-15,0.050020273
