v,w,t
1.0684812409844646e-15,-3.104070819825999e-16,0.014121905
1.0684812409844646e-15,-3.104070819825999e-16,0.064128371
1.0684812409844646e-15,-3.104070819825999e-16,0.114178915
1.0684812409844646e-15,-3.104070819825999e-16,0.164122948
1.0684812409844646e-15,-3.104070819825999e-16,0.214124676
1.0684812409844646e-15,-3.104070819825999e-16,0.264127285
1.0684812409844646e-15,-3.104070819825999e-16,0.314122529
1.0684812409844646e-15,-3.104070819825999e-16,0.364179087
1.0684812409844646e-15,-3.104070819825999e-16,0.414120539
1.0684812409844646e-15,-3.104070819825999e-16,0.464163009
1.0684812409844646e-15,-3.104070819825999e-16,0.514123265
1.0684812409844646e-15,-3.104070819825999e-16,0.564131273
1.0684812409844646e-15,-3.104070819825999e-16,0.614156551
1.0684812409844646e-15,-3.104070819825999e-16,0.664104702
1.0684812409844646e-15,-3.104070819825999e-16,0.714141875
1.0684812409844646e-15,-3.104070819825999e-16,0.764161426
1.0684812409844646e-15,-3.104070819825999e-16,0.81415809
1.0684812409844646e-15,-3.104070819825999e-16,0.864127618
1.0684812409844646e-15,-3.104070819825999e-16,0.914123026
1.0684812409844646e-15,-3.104070819825999e-16,0.96412261
1.0684812409844646e-15,-3.104070819825999e-16,1.014120673
1.0684812409844646e-15,-3.104070819825999e-16,1.064125409
1.0684812409844646e-15,-3.104070819825999e-16,1.114127166
1.0684812409844646e-15,-3.104070819825999e-16,1.164164516
1.0684812409844646e-15,-3.104070819825999e-16,1.21416316
1.0684812409844646e-15,-3.104070819825999e-16,1.264149916
1.0684812409844646e-15,-3.104070819825999e-16,1.314121425
1.0684812409844646e-15,-3.104070819825999e-16,1.364120515
1.0684812409844646e-15,-3.104070819825999e-16,1.414173743
1.0684812409844646e-15,-3.104070819825999e-16,1.464121789
1.0684812409844646e-15,-3.104070819825999e-16,1.514148139
1.0684812409844646e-15,-3.104070819825999e-16,1.5641417130000002
1.0684812409844646e-15,-3.104070819825999e-16,1.614127765
1.0684812409844646e-15,-3.104070819825999e-16,1.6641268729999998
1.0684812409844646e-15,-3.104070819825999e-16,1.714182525
1.0684812409844646e-15,-3.104070819825999e-16,1.7641210090000001
1.0684812409844646e-15,-3.104070819825999e-16,1.8141692489999999
1.0684812409844646e-15,-3.104070819825999e-16,1.86412559
1.0684812409844646e-15,-3.104070819825999e-16,1.9141254989999998
1.0684812409844646e-15,-3.104070819825999e-16,1.9641229180000002
1.0684812409844646e-15,-3.104070819825999e-16,2.014165154
1.0684812409844646e-15,-3.104070819825999e-16,2.064120516
1.0684812409844646e-15,-3.104070819825999e-16,2.114134425
1.0684812409844646e-15,-3.104070819825999e-16,2.1642119109999998
1.0684812409844646e-15,-3.104070819825999e-16,2.214127264
1.0684812409844646e-15,-3.104070819825999e-16,2.264126696
1.0684812409844646e-15,-3.104070819825999e-16,2.314226185
1.0684812409844646e-15,-3.104070819825999e-16,2.364193482
1.0684812409844646e-15,-3.104070819825999e-16,2.414189927
1.0684812409844646e-15,-3.104070819825999e-16,2.46412161
1.0684812409844646e-15,-3.104070819825999e-16,2.514160484
1.0684812409844646e-15,-3.104070819825999e-16,2.564151297
1.0684812409844646e-15,-3.104070819825999e-16,2.6141311480000002
1.0684812409844646e-15,-3.104070819825999e-16,2.664122079
