v_c,w_c,v,w,v_out,w_out,dt,dt_msg
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050005363,-0.04336147300000004
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050024039,-0.026504557999999956
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.0499834,-0.04235806399999997
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.100029481,-0.01816452599999996
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049961108,-0.034185522000000024
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050023858,-0.016219663999999967
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049977025,-0.032296506999999974
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.099998722,-0.007971842000000007
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050005433,-0.024074397000000025
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049995714,-0.00700977199999997
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050000585,-0.02245818700000002
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.099996246,0.000470207
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050006687,-0.013735190000000008
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.04997668,0.002930362
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050020229,-0.012495308999999954
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.050006941,-0.03873343799999995
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.100006508,-0.0037739549999999955
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,-0.049990296000000045,-0.08686724099999998
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.149981741,-0.002121353000000048
0.0,0.0,9.405453846311751e-17,-7.383416794626285e-17,9.405453846311751e-17,-7.383416794626285e-17,0.049996927,-0.028798410000000052
