v_c,w_c,t_c
0.0,0.0,1579539746.2738209
0.0,0.0,1579539746.3446033
0.0,0.0,1579539746.4154968
0.0,0.0,1579539746.4458792
0.0,0.0,1579539746.5065327
0.0,0.0,1579539746.5773566
0.0,0.0,1579539746.648171
0.0,0.0,1579539746.6785138
0.0,0.0,1579539746.759549
0.0,0.0,1579539746.8202348
0.0,0.0,1579539746.8505225
0.0,0.0,1579539746.9214284
0.0,0.0,1579539746.9821045
0.0,0.0,1579539747.0629816
0.0,0.0,1579539747.0933778
0.0,0.0,1579539747.1541262
0.0,0.0,1579539747.2249238
0.0,0.0,1579539747.2957218
0.0,0.0,1579539747.386703
0.0,0.0,1579539747.4675677
0.0,0.0,1579539747.5079226
0.0,0.0,1579539747.5382926
0.0,0.0,1579539747.6293054
0.0,0.0,1579539747.7001846
0.0,0.0,1579539747.7506025
0.0,0.0,1579539747.7808802
0.0,0.0,1579539747.8717582
0.0,0.0,1579539747.942485
0.0,0.0,1579539747.993133
0.0,0.0,1579539748.023437
0.0,0.0,1579539748.1043615
0.0,0.0,1579539748.1856883
0.0,0.0,1579539748.226008
0.0,0.0,1579539748.2562666
0.0,0.0,1579539748.286617
0.0,0.0,1579539748.3574982
0.0,0.0,1579539748.4282417
0.0,0.0,1579539748.4991121
0.0,0.0,1579539748.5901601
0.0,0.0,1579539748.6708796
0.0,0.0,1579539748.711399
0.0,0.0,1579539748.741702
0.0,0.0,1579539748.8326955
0.0,0.0,1579539748.9035597
0.0,0.0,1579539748.9440274
0.0,0.0,1579539748.97437
0.0,0.0,1579539749.0653808
0.0,0.0,1579539749.146333
0.0,0.0,1579539749.186678
0.0,0.0,1579539749.2170296
0.0,0.0,1579539749.3079135
0.0,0.0,1579539749.3886666
0.0,0.0,1579539749.4290164
0.0,0.0,1579539749.459341
0.0,0.0,1579539749.550323
0.0,0.0,1579539749.621002
0.0,0.0,1579539749.6714957
0.0,0.0,1579539749.7017365
0.0,0.0,1579539749.772293
0.0,0.0,1579539749.802722
0.0,0.0,1579539749.8735685
0.0,0.0,1579539749.9441836
0.0,0.0,1579539749.9846227
0.0,0.0,1579539750.045354
0.0,0.0,1579539750.0757124
0.0,0.0,1579539750.1161027
0.0,0.0,1579539750.1566536
0.0,0.0,1579539750.1870656
0.0,0.0,1579539750.2274883
0.0,0.0,1579539750.257758
0.0,0.0,1579539750.2881405
0.0,0.0,1579539750.348812
0.0,0.0,1579539750.4196887
0.0,0.0,1579539750.460023
0.0,0.0,1579539750.5207198
0.0,0.0,1579539750.5509863
0.0,0.0,1579539750.5916278
0.0,0.0,1579539750.6319118
0.0,0.0,1579539750.662194
0.0,0.0,1579539750.7026377
0.0,0.0,1579539750.7329042
0.0,0.0,1579539750.763197
0.0,0.0,1579539750.8339236
0.0,0.0,1579539750.87431
0.0,0.0,1579539750.9046764
0.0,0.0,1579539750.9451044
0.0,0.0,1579539751.0058203
0.0,0.0,1579539751.0766459
0.0,0.0,1579539751.1472585
0.0,0.0,1579539751.1877112
0.0,0.0,1579539751.2482934
0.0,0.0,1579539751.2787037
0.0,0.0,1579539751.3090334
0.0,0.0,1579539751.3595748
0.0,0.0,1579539751.420203
0.0,0.0,1579539751.450612
0.0,0.0,1579539751.5211616
0.0,0.0,1579539751.6019275
0.0,0.0,1579539751.6624975
0.0,0.0,1579539751.6926978
0.0,0.0,1579539751.7635057
0.0,0.0,1579539751.8342447
0.0,0.0,1579539751.9049413
0.0,0.0,1579539751.9353185
0.0,0.0,1579539751.9958801
0.0,0.0,1579539752.0768235
0.0,0.0,1579539752.1476529
0.0,0.0,1579539752.1779852
0.0,0.0,1579539752.2384212
0.0,0.0,1579539752.3193014
0.0,0.0,1579539752.3802102
0.0,0.0,1579539752.4105067
0.0,0.0,1579539752.4812305
0.0,0.0,1579539752.5621421
0.0,0.0,1579539752.6228094
0.0,0.0,1579539752.6531396
-0.0,-0.0482093021273613,1579539752.7138567
-0.0,-0.0482093021273613,1579539752.794648
-0.0,-0.0482093021273613,1579539752.8654358
-0.0,-0.0482093021273613,1579539752.8957384
-0.0,-0.0482093021273613,1579539752.9562836
-0.0,-0.0482093021273613,1579539753.0371556
-0.0,-0.0482093021273613,1579539753.107916
0.0309916939586401,-0.0482093021273613,1579539753.1382775
-0.0,-0.05853971838951111,1579539753.1988761
0.0309916939586401,-0.0413222573697567,1579539753.2799585
-0.0,-0.0482093021273613,1579539753.3507335
-0.0,-0.0413222573697567,1579539753.4115431
0.04476577788591385,-0.0413222573697567,1579539753.4418142
0.10674916952848434,-0.0482093021273613,1579539753.5226178
0.17217592895030975,-0.0482093021273613,1579539753.5932558
0.2031676173210144,-0.03099154494702816,1579539753.6539626
0.2100546658039093,-0.0413222573697567,1579539753.6843126
0.22727227210998535,-0.0482093021273613,1579539753.7551634
0.26170748472213745,-0.0413222573697567,1579539753.8259678
0.2582639753818512,-0.0482093021273613,1579539753.8968234
0.26170748472213745,-0.0482093021273613,1579539753.927149
0.2926991879940033,-0.03099154494702816,1579539753.997873
0.32369086146354675,-0.0482093021273613,1579539754.0685987
0.43732693791389465,-0.0413222573697567,1579539754.1291146
0.45110100507736206,-0.0413222573697567,1579539754.1595185
0.557850182056427,-0.0482093021273613,1579539754.2403612
0.6542688012123108,-0.0413222573697567,1579539754.310988
0.6783734560012817,-0.0413222573697567,1579539754.3716288
0.6783734560012817,-0.0482093021273613,1579539754.4019544
0.6852604746818542,-0.0413222573697567,1579539754.4829679
0.6921475529670715,-0.0413222573697567,1579539754.5537317
0.7162520289421082,-0.0482093021273613,1579539754.6145463
0.7231390476226807,-0.0482093021273613,1579539754.6449263
0.8436623215675354,-0.0413222573697567,1579539754.7157989
0.8815410733222961,-0.0413222573697567,1579539754.78661
0.8367753028869629,-0.0482093021273613,1579539754.8473022
0.8230012059211731,-0.05853971838951111,1579539754.8877337
0.8298882246017456,-0.0482093021273613,1579539754.9586983
0.8574364185333252,-0.0413222573697567,1579539755.0293987
0.8677669763565063,-0.0413222573697567,1579539755.08999
0.8677669763565063,-0.0413222573697567,1579539755.1203592
0.8505493402481079,-0.0482093021273613,1579539755.2012205
0.9194198250770569,-0.0413222573697567,1579539755.2719185
0.8953151702880859,-0.0413222573697567,1579539755.3326979
0.8953151702880859,-0.0413222573697567,1579539755.3630345
0.8884280920028687,-0.0482093021273613,1579539755.4440348
0.9331938624382019,-0.0482093021273613,1579539755.5148482
0.9435244202613831,-0.0413222573697567,1579539755.5755415
0.9435244202613831,-0.0413222573697567,1579539755.6058984
0.9331938624382019,-0.0413222573697567,1579539755.6768305
0.9435244202613831,-0.0482093021273613,1579539755.7476277
0.9504114985466003,-0.0482093021273613,1579539755.8184235
0.9504114985466003,-0.0482093021273613,1579539755.8486927
0.9710724949836731,-0.0413222573697567,1579539755.929515
0.9710724949836731,-0.0413222573697567,1579539755.99014
1.0330559015274048,-0.0482093021273613,1579539756.0508137
1.0399428606033325,-0.0413222573697567,1579539756.0810573
1.0399428606033325,-0.0413222573697567,1579539756.161803
1.0468299388885498,-0.0482093021273613,1579539756.2326396
1.0847086906433105,-0.0413222573697567,1579539756.293498
1.0778216123580933,-0.0482093021273613,1579539756.3237028
1.1398050785064697,-0.05853971838951111,1579539756.4046438
1.236223578453064,-0.0413222573697567,1579539756.4754434
1.267215371131897,-0.0482093021273613,1579539756.5360448
1.2741023302078247,-0.03099154494702816,1579539756.566411
1.294763445854187,-0.0413222573697567,1579539756.647299
1.311980962753296,-0.0413222573697567,1579539756.7081401
1.3395291566848755,-0.0413222573697567,1579539756.77899
1.3464161157608032,-0.0413222573697567,1579539756.8092947
1.370520830154419,-0.0482093021273613,1579539756.8699977
1.3774079084396362,-0.0482093021273613,1579539756.9003742
1.3774079084396362,-0.0413222573697567,1579539756.970978
1.4221736192703247,-0.0482093021273613,1579539757.0416782
1.4221736192703247,-0.0482093021273613,1579539757.0720024
1.3946254253387451,-0.05853971838951111,1579539757.132717
1.3946254253387451,-0.1239667758345604,1579539757.1730595
1.4152865409851074,-0.3236907124519348,1579539757.233523
1.4015125036239624,-0.3891177773475647,1579539757.2638173
1.3877384662628174,-0.6680428981781006,1579539757.324524
1.370520830154419,-0.6887040138244629,1579539757.405326
1.3636337518692017,-0.6990343928337097,1579539757.4458613
1.3567466735839844,-0.7196955680847168,1579539757.5065222
1.3567466735839844,-0.7196955680847168,1579539757.536906
1.3464161157608032,-0.6473817229270935,1579539757.6076663
1.3464161157608032,-0.6542688012123108,1579539757.637918
1.3326420783996582,-0.6990343928337097,1579539757.6682372
1.3395291566848755,-0.6990343928337097,1579539757.6986473
1.3464161157608032,-0.6887040138244629,1579539757.7390363
1.3395291566848755,-0.6473817229270935,1579539757.7996433
1.3395291566848755,-0.6026158332824707,1579539757.8301144
1.3016505241394043,-0.3099166452884674,1579539757.8907
1.3016505241394043,-0.2444898784160614,1579539757.9211178
1.267215371131897,-0.03099154494702816,1579539757.9716935
1.249997615814209,-0.03099154494702816,1579539758.0019226
1.2293366193771362,0.2031676173210144,1579539758.0624452
1.2293366193771362,0.22038522362709045,1579539758.092785
1.1914578676223755,0.2858121395111084,1579539758.153509
1.174240231513977,0.3064732551574707,1579539758.193798
1.1466920375823975,0.35123905539512634,1579539758.2544374
1.129474401473999,0.37190017104148865,1579539758.2848194
1.0984827280044556,0.5027538537979126,1579539758.3251586
1.0984827280044556,0.49242326617240906,1579539758.3555117
1.053717017173767,0.5957289338111877,1579539758.426321
1.053717017173767,0.5750678181648254,1579539758.456624
1.053717017173767,0.6990343928337097,1579539758.5173562
1.0399428606033325,0.6990343928337097,1579539758.5476873
0.9435244202613831,0.705921471118927,1579539758.6084368
0.9435244202613831,0.7438002228736877,1579539758.6387718
0.7816789150238037,0.7816789150238037,1579539758.6792228
0.7610177993774414,0.7988965511322021,1579539758.7094748
0.7369131445884705,0.8092271089553833,1579539758.7500327
0.7231390476226807,0.8092271089553833,1579539758.81063
0.6783734560012817,0.7713483572006226,1579539758.881291
0.6783734560012817,0.7920094728469849,1579539758.911606
0.6542688012123108,0.7713483572006226,1579539758.9722683
0.6645993590354919,0.7438002228736877,1579539759.002633
0.6336076855659485,0.6232770681381226,1579539759.043089
0.6267206072807312,0.6129465103149414,1579539759.0734792
0.6198335886001587,0.6026159524917603,1579539759.1037745
0.5750678181648254,0.5199714303016663,1579539759.1744444
0.5130844116210938,0.37878721952438354,1579539759.2351344
0.5130844116210938,0.3340214490890503,1579539759.2655265
0.533745527267456,0.1756194531917572,1579539759.32632
0.533745527267456,0.12052325159311295,1579539759.356682
0.4820927083492279,-0.0413222573697567,1579539759.4072726
0.475205659866333,-0.03099154494702816,1579539759.4376342
0.45110100507736206,-0.0413222573697567,1579539759.4680161
0.4889797568321228,-0.0413222573697567,1579539759.5286715
0.3684566617012024,-0.03099154494702816,1579539759.5995693
0.3615696132183075,-0.03099154494702816,1579539759.6299105
0.3615696132183075,-0.03099154494702816,1579539759.6905916
0.3615696132183075,-0.0413222573697567,1579539759.7209916
0.33057790994644165,-0.0413222573697567,1579539759.7614706
0.30991679430007935,-0.0413222573697567,1579539759.791839
0.2926991879940033,-0.0413222573697567,1579539759.8222406
0.22727227210998535,-0.0413222573697567,1579539759.8930676
0.1893935352563858,-0.0482093021273613,1579539759.9536462
0.17217592895030975,-0.0413222573697567,1579539759.9839752
0.12741029262542725,-0.03099154494702816,1579539760.0547967
0.10674916952848434,-0.0413222573697567,1579539760.0850475
-0.0,-0.0413222573697567,1579539760.1255772
-0.0,-0.0413222573697567,1579539760.1559675
-0.0,-0.03099154494702816,1579539760.18623
-0.0,-0.03099154494702816,1579539760.2467268
-0.0,-0.0413222573697567,1579539760.3175244
-0.0,-0.0413222573697567,1579539760.3477924
0.0,0.0,1579539760.4085026
0.0,0.0,1579539760.4388087
0.0,0.0,1579539760.47917
0.0,0.0,1579539760.5095873
0.0,0.0,1579539760.5499845
0.0,0.0,1579539760.6106508
0.0,0.0,1579539760.6713855
0.0,0.0,1579539760.752251
0.0,0.0,1579539760.782544
0.0,0.0,1579539760.853343
0.0,0.0,1579539760.9139702
0.0,0.0,1579539760.9442298
