x,y,theta,vel,accel,steer,omega,break
30.621335499999997,-96.3377222,0,0.0,0.209,0.0,-0.001587246311828494,0.0
30.621335499999997,-96.3377222,0,0.0,0.209,0.0,-0.00028788973577320576,0.0
30.621335499999997,-96.3377222,0,0.0,0.209,0.0,-0.0010714721865952015,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,0.0003974910359829664,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,-0.0006039065774530172,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,-0.0005562035366892815,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,-0.0011585633037611842,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,-0.0008960278937593102,0.0
30.621335499999997,-96.3377223,0,0.0,0.209,0.0,-0.0009589344263076782,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.00022105802781879902,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.0011689451057463884,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.0009028275962918997,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.0007413732819259167,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,0.00044769630767405033,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,0.0017565579619258642,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,0.0002582424785941839,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.0003853708039969206,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,0.0004295280668884516,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,3.253086470067501e-05,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.00014936085790395737,0.0
30.6213356,-96.3377222,0,0.0,0.209,0.0,-0.00035875593312084675,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,0.00021035270765423775,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0010358886793255806,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0009956834837794304,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,0.00034748087637126446,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0007102400995790958,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0009493581019341946,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0001408515963703394,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0010532498126849532,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.00037611485458910465,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,0.00015003886073827744,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.00039019365794956684,0.0
30.6213357,-96.3377222,0,0.0,0.209,0.0,-0.0005107219330966473,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,-0.00140703609213233,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,-0.0010161055251955986,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,-0.00045738951303064823,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,0.0008750979322940111,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,-0.0002010958269238472,0.0
30.6213357,-96.3377223,0,0.0,0.209,0.0,-0.000614796532317996,0.0
30.6213357,-96.3377223,0,0.0,0.282,0.0,0.0006470212247222662,0.0
30.6213357,-96.3377223,0,0.0,0.33,0.0,0.0005455943755805492,0.0
30.6213357,-96.3377223,0,0.0,0.37,0.0,-0.0006336490623652935,0.0
30.6213357,-96.3377223,0,0.0,0.37,0.0,-0.0007276885444298387,0.0
30.6213357,-96.3377223,0,0.0,0.372,0.0,-0.0009542673360556364,0.0
30.6213357,-96.3377223,0,0.0,0.372,0.0,0.00019751070067286491,0.0
30.6213357,-96.3377223,0,0.0,0.372,0.0,-0.00022428249940276146,0.0
30.6213357,-96.3377223,0,0.04,0.372,0.0,0.00030674319714307785,0.0
30.6213357,-96.3377223,0,0.09,0.372,0.0,-0.0002665093634277582,0.0
30.6213357,-96.3377223,0,0.11,0.372,0.0,-0.0004977877251803875,0.0
30.6213357,-96.3377223,0,0.18,0.372,0.0,-0.0008140412392094731,0.0
30.6213357,-96.3377223,0,0.26,0.372,0.0,-0.00234410772100091,0.0
30.6213357,-96.3377223,0,0.28,0.372,0.0,-6.109476089477539e-06,0.0
30.6213357,-96.3377223,0,0.16,0.372,0.0,0.0001655840314924717,0.0
30.6213357,-96.3377223,0,0.11,0.358,0.0,-0.001434752601198852,0.0
30.6213357,-96.3377223,0,0.17,0.381,0.0,-0.001119912718422711,0.0
30.6213357,-96.3377223,0,0.09,0.381,0.0,-0.0007372752297669649,0.0
30.6213357,-96.3377223,0,0.03,0.393,0.0,-0.0019334865501150489,0.0
30.6213357,-96.3377223,0,0.16,0.402,0.0,0.00023701181635260582,0.0
30.6213357,-96.3377223,0,0.24,0.402,0.0,0.0001250309869647026,0.0
30.6213357,-96.3377223,0,0.11,0.402,0.0,-0.0007068569539114833,0.0
30.6213357,-96.3377223,0,0.06,0.384,0.0,-0.0009397293906658888,0.0
30.6213357,-96.3377223,0,0.06,0.384,0.0,-0.0020130823832005262,0.0
30.6213357,-96.3377223,0,0.04,0.384,0.0,-0.002268404234200716,0.0
30.6213357,-96.3377222,0,0.16,0.384,0.0,-0.001637044595554471,0.0
30.6213357,-96.3377222,0,0.2,0.384,0.0,4.773493856191635e-05,0.0
30.6213357,-96.3377222,0,0.12,0.384,0.0,0.0001426427625119686,0.0
30.6213357,-96.3377222,0,0.06,0.379,0.0,1.0087154805660248e-05,0.0
30.6213357,-96.3377222,0,0.03,0.379,0.0,-0.0011819079518318176,0.0
30.6213357,-96.3377222,0,0.17,0.379,0.0,-0.0016601474490016699,0.0
30.6213356,-96.3377221,0,0.22,0.379,0.0,-0.0019784278701990843,0.0
